Effective date,Period-end,Balance types,Transactions,Date posted,Amount,CR/DR
2022-Jun-21,2019-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jun-21,$14.14, ,
,2019-Sep-30,Balance amounts,Accrued arrears interest         ,,$7.42, ,
2021-Jul-21,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Jul-21,$18.32, ,
2021-Jul-21,2020-Sep-30,Balance amounts,Payment                          ,2021-Jul-26,"$1,000.00",CR,
2021-Jul-26,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Jul-26,$2.48, ,
2021-Aug-17,2020-Sep-30,Balance amounts,Payment                          ,2021-Aug-20,"$1,000.00",CR,
2021-Aug-20,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Aug-20,$12.02, ,
2021-Aug-21,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Aug-21,$0.36, ,
2021-Sep-21,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Sep-21,$11.22, ,
2021-Sep-17,2020-Sep-30,Balance amounts,Payment                          ,2021-Sep-22,"$1,000.00",CR,
2021-Sep-22,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Sep-22,$0.32,CR,
2021-Oct-21,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Oct-21,$6.56, ,
2021-Oct-19,2020-Sep-30,Balance amounts,Payment                          ,2021-Oct-22,"$1,000.00",CR,
2021-Oct-22,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Oct-22,$0.19,CR,
2021-Nov-21,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Nov-21,$2.69, ,
2021-Nov-17,2020-Sep-30,Balance amounts,Payment                          ,2021-Nov-22,$655.40,CR,
2021-Nov-22,2020-Sep-30,Balance amounts,Arrears Interest                 ,2021-Nov-22,$0.36,CR,
2022-Jan-31,2021-Sep-30,Interim amounts,Payment                          ,2022-Feb-03,"$1,000.00",CR,
2022-Jan-31,2021-Sep-30,Interim amounts,Trsf. to   RC0001 2015-Sep-30    ,2022-Feb-09,"$1,000.00", ,
2021-Dec-31,2021-Sep-30,Balance amounts,Part I Tax                       ,2022-Feb-18,"$5,923.00", ,
2021-Dec-31,2021-Sep-30,Balance amounts,Provincial Tax                   ,2022-Feb-18,"$2,106.00", ,
2021-Dec-31,2021-Sep-30,Balance amounts,Instalment Interest              ,2022-Feb-18,$126.77, ,
2022-Feb-24,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Feb-18,$61.68, ,
2022-Feb-17,2021-Sep-30,Balance amounts,Payment                          ,2022-Feb-22,"$1,000.00",CR,
2022-Feb-24,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Feb-22,$0.96,CR,
2022-Mar-21,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Mar-21,$24.75, ,
2022-Apr-01,2021-Sep-30,Balance amounts,Payment                          ,2022-Apr-06,"$1,500.00",CR,
2022-Apr-06,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Apr-06,$14.86, ,
2022-Apr-21,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Apr-21,$11.84, ,
2022-May-21,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-May-21,$23.75, ,
2022-Jun-01,2021-Sep-30,Balance amounts,Payment                          ,2022-Jun-06,"$1,000.00",CR,
2022-Jun-06,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jun-06,$12.02, ,
2022-Jun-21,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jun-21,$9.88, ,
2022-Jun-28,2021-Sep-30,Balance amounts,Payment                          ,2022-Jul-04,"$1,500.00",CR,
2022-Jul-04,2021-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jul-04,$7.71, ,
,2021-Sep-30,Balance amounts,Accrued arrears interest         ,,$1.09, ,
